Changes,Average of quality
0,1344.966667
1,1972.936667
2,1011.904
3,1795.425
4,1444.338333
5,2121.222
6,2536.0394
7,1418.02
8,1201.999
9,1996.411429
10,2400.2515
11,2307.148571
12,2219.482667
13,1649.028286
14,2797.983636
15,1792.765
16,2357.7275
17,1770.3985
18,2434.647
19,2118.466
20,2568.75
21,2698.68
22,2776.2225
23,2187.37775
24,1921.944333
25,2744.9525
26,2502.4
27,1896.8632
28,2489.13
29,2349.79
30,3155.032
31,2212.66
32,2187.05
33,1847.095
34,3081.85
35,1521.59
36,1759.59
37,1783.855
38,2249.36
39,1529.14
40,2659.065
41,2563.085
42,2791.756667
43,2117.525
44,2254.776667
46,2345.18
47,2156.18
51,1104.45
52,2909.5
53,1285.43475
54,2690.81
55,1012.4
58,2602.643333
61,2131.045
64,1803.6
66,1907.87
67,1649.75
68,1231.02
69,927.789
71,969.259
75,1859.95
76,1805.25
77,1661.725
79,1654.19
81,1083.42
82,1443.205
85,2320.93
86,2701.17
87,1073.16
90,3005.12
91,3408.96
93,2216.6
100,1021
107,1541.53
109,1221.05
111,1539.79
112,1221.85
113,2261.42
129,2922.55
130,3682.03
141,2723.98
154,1602.73
162,4393.63
175,2986.71
525,1107.61
719,808.863
