Quality,Buf3060,Buf120,Buf240
255.472,0.703018,,
255.754,,,0.66852
275.561,0.79464,,
353.281,,,0.531418
353.332,,,0.798929
353.5,,,0.545409
353.568,,0.543434,
354.063,,0.534285,
354.067,,,0.912456
354.284,,,0.545607
354.515,,0.768388,
355.166,,0.535495,
357.28,,,0.770881
381.848,0.568893,,
437.928,,0.712135,
448.568,,0.618246,
463.517,0.748566,,
476.363,,,0.76737
484.722,,,0.755605
485.85,,,0.499714
486.092,,,0.514425
487.117,,,0.502006
490.914,,,0.407699
513.66,,,0.508734
525.961,0.702961,,
536.214,,0.416687,
540.29,0.652185,,
545.217,0.712663,,
548.485,,0.735433,
555.548,,,0.626717
575.438,0.381472,,
590.391,0.572354,,
598.846,,,0.370689
606.198,,,0.374379
622.693,0.488139,,
631.366,,0.641721,
651.215,,,0.701954
658.178,0.668605,,
660.524,,0.283716,
732.215,,0.405924,
744.81,,,0.384774
755.203,,,0.694133
757.254,,0.742991,
764.379,0.272845,,
769.042,,0.36487,
771.441,,0.423353,
776.595,,0.688661,
784.618,0.735869,,
797.829,0.399686,,
808.863,,0.355408,
814.067,,,0.295525
814.871,,0.42126,
823.144,,0.440198,
838.338,0.447946,,
842.446,,,0.725681
843.694,,,0.359406
850.695,,,0.81725
855.363,,,0.391478
872.662,,,0.671217
881.954,,,0.760034
896.125,,,0.349982
913.312,,0.242033,
927.789,,0.376728,
932.162,0.394937,,
947.015,,0.43431,
950.045,,,0.292626
957.325,,,0.464561
969.259,,0.812495,
970.868,,,0.543174
972.852,,,0.367509
976.408,0.240437,,
980.622,,0.811347,
982.693,,0.700753,
982.979,,,0.382417
1002.83,,,0.367335
1003.07,,,0.383839
1004.14,,0.382705,
1004.41,,,0.375532
1008.71,0.426338,,
1011.36,,,0.439118
1012.4,,0.361021,
1021,,0.338769,
1042.76,,0.725709,
1042.91,,0.255785,
1043.21,,,0.38328
1048.36,0.321696,,
1070.6,,,0.45407
1071.6,,,0.355184
1073.16,,0.325847,
1083.42,,0.748195,
1088.72,0.317172,,
1091.05,,,0.443284
1104.45,,0.632713,
1107.61,,0.407686,
1112.16,0.839531,,
1112.76,0.576407,,
1118.13,0.366521,,
1123.17,,0.389785,
1132.55,,0.347913,
1143,0.279456625,0.248351,0.185432
1147.7,0.465925,,
1157.46,,0.379802,
1161.7,0.426847,,
1173.93,0.402865,,
1176.12,,0.412406,
1177.4,0.128891,,
1179.05,,0.754955,
1190.14,0.361322,,
1194.58,0.441353,,
1198,0.39956825,0.28404975,0.223392667
1198.06,0.144002,,
1200,0.291834143,0.1737508,0.176199455
1203.54,,0.387523,
1207.51,0.148454,,
1209.95,0.14664,,
1220.17,,,0.430278
1221.85,,0.142689,
1227.75,0.667582,,
1230.08,,0.383925,
1230.98,,0.838183,
1231.02,,0.153777,
1232.34,,,0.381642
1240.34,,,0.380881
1240.56,0.144655,,
1250.21,,0.383749,
1259.6,,0.708423,
1262.71,,,0.370549
1268.86,0.385496,,
