Quality,Buf3060,Buf120,Buf240
255.472,0.703018,null,null
255.754,null,null,0.66852
275.561,0.79464,null,null
353.281,null,null,0.531418
353.332,null,null,0.798929
353.5,null,null,0.545409
353.568,null,0.543434,null
354.063,null,0.534285,null
354.067,null,null,0.912456
354.284,null,null,0.545607
354.515,null,0.768388,null
355.166,null,0.535495,null
357.28,null,null,0.770881
381.848,0.568893,null,null
437.928,null,0.712135,null
448.568,null,0.618246,null
463.517,0.748566,null,null
476.363,null,null,0.76737
484.722,null,null,0.755605
485.85,null,null,0.499714
486.092,null,null,0.514425
487.117,null,null,0.502006
490.914,null,null,0.407699
513.66,null,null,0.508734
525.961,0.702961,null,null
536.214,null,0.416687,null
540.29,0.652185,null,null
545.217,0.712663,null,null
548.485,null,0.735433,null
555.548,null,null,0.626717
575.438,0.381472,null,null
590.391,0.572354,null,null
598.846,null,null,0.370689
606.198,null,null,0.374379
622.693,0.488139,null,null
631.366,null,0.641721,null
651.215,null,null,0.701954
658.178,0.668605,null,null
660.524,null,0.283716,null
732.215,null,0.405924,null
744.81,null,null,0.384774
755.203,null,null,0.694133
757.254,null,0.742991,null
764.379,0.272845,null,null
769.042,null,0.36487,null
771.441,null,0.423353,null
776.595,null,0.688661,null
784.618,0.735869,null,null
797.829,0.399686,null,null
808.863,null,0.355408,null
814.067,null,null,0.295525
814.871,null,0.42126,null
823.144,null,0.440198,null
838.338,0.447946,null,null
842.446,null,null,0.725681
843.694,null,null,0.359406
850.695,null,null,0.81725
855.363,null,null,0.391478
872.662,null,null,0.671217
881.954,null,null,0.760034
896.125,null,null,0.349982
913.312,null,0.242033,null
927.789,null,0.376728,null
932.162,0.394937,null,null
947.015,null,0.43431,null
950.045,null,null,0.292626
957.325,null,null,0.464561
969.259,null,0.812495,null
970.868,null,null,0.543174
972.852,null,null,0.367509
976.408,0.240437,null,null
980.622,null,0.811347,null
982.693,null,0.700753,null
982.979,null,null,0.382417
1002.83,null,null,0.367335
1003.07,null,null,0.383839
1004.14,null,0.382705,null
1004.41,null,null,0.375532
1008.71,0.426338,null,null
1011.36,null,null,0.439118
1012.4,null,0.361021,null
1021,null,0.338769,null
1042.76,null,0.725709,null
1042.91,null,0.255785,null
1043.21,null,null,0.38328
1048.36,0.321696,null,null
1070.6,null,null,0.45407
1071.6,null,null,0.355184
1073.16,null,0.325847,null
1083.42,null,0.748195,null
1088.72,0.317172,null,null
1091.05,null,null,0.443284
1104.45,null,0.632713,null
1107.61,null,0.407686,null
1112.16,0.839531,null,null
1112.76,0.576407,null,null
1118.13,0.366521,null,null
1123.17,null,0.389785,null
1132.55,null,0.347913,null
1143,0.279456625,0.248351,0.185432
1147.7,0.465925,null,null
1157.46,null,0.379802,null
1161.7,0.426847,null,null
1173.93,0.402865,null,null
1176.12,null,0.412406,null
1177.4,0.128891,null,null
1179.05,null,0.754955,null
1190.14,0.361322,null,null
1194.58,0.441353,null,null
1198,0.39956825,0.28404975,0.223392667
1198.06,0.144002,null,null
1200,0.291834143,0.1737508,0.176199455
1203.54,null,0.387523,null
1207.51,0.148454,null,null
1209.95,0.14664,null,null
1220.17,null,null,0.430278
1221.85,null,0.142689,null
1227.75,0.667582,null,null
1230.08,null,0.383925,null
1230.98,null,0.838183,null
1231.02,null,0.153777,null
1232.34,null,null,0.381642
1240.34,null,null,0.380881
1240.56,0.144655,null,null
1250.21,null,0.383749,null
1259.6,null,0.708423,null
1262.71,null,null,0.370549
1268.86,0.385496,null,null
1269.57,null,null,0.733798
1272.5,0.13463,null,null
1278.76,null,null,0.432836
1281,null,null,0.157801
1284.01,null,0.136556,null
1290.97,0.129609,null,null
1291.52,null,0.121266,null
